"",bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0,268.0,67.0,2.0,4.0,4.0,2.0,1.0,20.0,True,2.0,True,4.0,NM-45-32,False
1,0.0,2.0,109.0,3196.0,13.0,0.0,1.0,5.0,True,3.0,False,NaN,NM-45-32,False
2,165.0,40.0,2.0,4.0,3.0,2.0,2.0,23.0,True,2.0,True,4.0,47-32,True
3,0.0,2.0,68.0,3143.0,17.0,1.0,1.0,10.0,True,3.0,False,NaN,47-32,True
4,326.0,42.0,2.0,4.0,4.0,2.0,2.0,23.0,True,2.0,True,4.0,49-34,True
5,0.0,3.0,76.0,3400.0,18.0,4.0,7.0,20.0,True,3.0,False,NaN,49-34,True
6,65.0,921.0,2.0,4.0,3.0,2.0,2.0,20.0,True,2.0,True,4.0,51-36,True
7,7.0,14.0,61.0,3613.0,24.0,0.0,1.0,12.0,True,3.0,False,NaN,51-36,True
8,18.0,71.0,1148.0,4.0,3.0,2.0,2.0,18.0,True,2.0,False,NaN,53-38,True
9,121.0,23.0,54.0,3832.0,15.0,1.0,1.0,5.0,True,3.0,True,4.0,53-38,True
10,93.0,814.0,2.0,3.0,4.0,2.0,2.0,19.0,True,2.0,False,NaN,55-40,True
11,0.0,2321.0,122.0,4396.0,8.0,0.0,0.0,0.0,True,3.0,False,NaN,55-40,True
12,127.0,110.0,2.0,3.0,3.0,2.0,2.0,21.0,True,2.0,True,4.0,NT-35-45,False
13,0.0,0.0,95.0,11846.0,19.0,0.0,1.0,0.0,True,3.0,True,1.0,NT-35-45,False
14,126.0,110.0,2.0,4.0,4.0,2.0,2.0,23.0,True,2.0,True,4.0,NT-37-47,False
15,0.0,0.0,101.0,12439.0,24.0,0.0,0.0,0.0,True,3.0,True,1.0,NT-37-47,False
16,175.0,56.0,2.0,3.0,3.0,2.0,2.0,22.0,True,2.0,True,4.0,NT-39-49,False
17,0.0,0.0,108.0,12778.0,20.0,0.0,1.0,0.0,True,3.0,True,1.0,NT-39-49,False
18,148.0,62.0,2.0,3.0,4.0,2.0,2.0,22.0,True,2.0,True,4.0,NT-41-51,False
19,0.0,0.0,116.0,12641.0,21.0,1.0,1.0,0.0,True,3.0,True,1.0,NT-41-51,False
20,218.0,97.0,2.0,5.0,4.0,2.0,2.0,25.0,True,2.0,True,4.0,NT-43-53,False
21,0.0,0.0,119.0,13036.0,28.0,4.0,3.0,2.0,True,3.0,True,1.0,NT-43-53,False
22,271.0,53.0,1.0,4.0,4.0,2.0,1.0,25.0,True,2.0,True,4.0,NT-45-30,False
23,0.0,2.0,56.0,2944.0,15.0,1.0,1.0,9.0,True,3.0,False,NaN,NT-45-30,False
24,0.0,0.0,148.0,13460.0,31.0,1.0,3.0,0.0,True,3.0,True,1.0,NT-45-55,False
25,179.0,99.0,3.0,5.0,4.0,2.0,1.0,28.0,True,2.0,True,4.0,NT-45-55,False
26,43.0,2874.0,235.0,4.0,4.0,1.0,1.0,19.0,True,2.0,False,NaN,47-38,True
27,170.0,287.0,17.0,3774.0,1.0,0.0,0.0,7.0,True,3.0,True,4.0,47-38,True
28,291.0,53.0,2.0,3.0,3.0,1.0,2.0,24.0,True,2.0,True,4.0,49-36,True
29,0.0,19.0,113.0,3716.0,37.0,1.0,2.0,12.0,True,3.0,False,NaN,49-36,True
30,32.0,1583.0,8.0,4.0,4.0,2.0,2.0,18.0,True,2.0,False,NaN,49-38,True
31,22.0,189.0,51.0,3870.0,4.0,0.0,1.0,11.0,True,3.0,False,NaN,49-38,True
32,214.0,52.0,2.0,4.0,3.0,2.0,2.0,25.0,True,2.0,True,4.0,51-36,True
33,2.0,98.0,141.0,3645.0,20.0,2.0,9.0,22.0,True,3.0,False,NaN,51-36,True
34,103.0,157.0,2.0,4.0,5.0,2.0,2.0,22.0,True,2.0,True,4.0,53-38,True
35,25.0,206.0,37.0,3750.0,2.0,0.0,1.0,26.0,True,3.0,False,NaN,53-38,True
36,45.0,448.0,73.0,4.0,3.0,1.0,2.0,19.0,True,2.0,False,NaN,55-40,True
37,470.0,328.0,57.0,4070.0,1.0,0.0,0.0,1.0,True,3.0,True,4.0,55-40,True
38,262.0,19.0,2.0,4.0,2.0,1.0,1.0,18.0,True,2.0,True,4.0,NT-30-45,False
39,0.0,0.0,28.0,13149.0,3.0,0.0,0.0,0.0,True,3.0,True,1.0,NT-30-45,False
40,324.0,19.0,2.0,3.0,2.0,1.0,1.0,19.0,True,2.0,True,4.0,NT-32-47,False
41,0.0,0.0,32.0,13759.0,5.0,0.0,1.0,0.0,True,3.0,True,1.0,NT-32-47,False
42,243.0,24.0,1.0,3.0,3.0,1.0,1.0,19.0,True,2.0,True,4.0,NT-34-49,False
43,0.0,0.0,8.0,16132.0,13.0,0.0,0.0,7.0,True,3.0,True,1.0,NT-34-49,False
44,417.0,23.0,2.0,3.0,3.0,2.0,1.0,20.0,True,2.0,True,4.0,NT-36-51,False
45,0.0,0.0,13.0,16129.0,9.0,0.0,0.0,3.0,True,3.0,True,1.0,NT-36-51,False
46,144.0,17.0,1.0,3.0,3.0,1.0,2.0,19.0,True,2.0,False,NaN,NT-38-53,False
47,0.0,1.0,43.0,14903.0,8.0,0.0,1.0,1.0,True,3.0,True,1.0,NT-38-53,False
48,367.0,19.0,1.0,3.0,3.0,1.0,1.0,22.0,True,2.0,True,4.0,NT-40-55,False
49,0.0,0.0,37.0,13395.0,16.0,1.0,1.0,1.0,True,3.0,True,1.0,NT-40-55,False
50,283.0,33.0,1.0,3.0,5.0,1.0,2.0,23.0,True,2.0,True,4.0,NT-49-34,False
51,0.0,6.0,45.0,4837.0,6.0,0.0,0.0,1.0,True,3.0,False,NaN,NT-49-34,False
52,167.0,32.0,2.0,3.0,4.0,1.0,2.0,21.0,True,2.0,True,4.0,42-32,True
53,0.0,11.0,72.0,3102.0,34.0,3.0,3.0,12.0,True,3.0,False,NaN,42-32,True
54,112.0,561.0,3.0,3.0,4.0,2.0,2.0,22.0,True,2.0,True,4.0,44-34,True
55,0.0,9.0,45.0,3156.0,30.0,4.0,3.0,12.0,True,3.0,False,NaN,44-34,True
56,24.0,262.0,6.0,3.0,4.0,2.0,1.0,20.0,True,2.0,False,NaN,46-36,True
57,4.0,521.0,93.0,3422.0,27.0,4.0,3.0,2.0,True,3.0,False,NaN,46-36,True
58,30.0,1186.0,44.0,3.0,4.0,2.0,2.0,18.0,True,2.0,False,NaN,48-38,True
59,5.0,713.0,45.0,3595.0,36.0,3.0,1.0,2.0,True,3.0,False,NaN,48-38,True
60,12.0,142.0,544.0,6.0,4.0,2.0,2.0,19.0,True,2.0,False,NaN,50-40,True
61,1.0,1003.0,92.0,3779.0,18.0,1.0,1.0,2.0,True,3.0,False,NaN,50-40,True
62,25.0,1770.0,85.0,3.0,4.0,2.0,1.0,18.0,True,2.0,False,NaN,52-42,True
63,0.0,2882.0,358.0,4439.0,12.0,0.0,0.0,0.0,True,3.0,False,NaN,52-42,True
64,191.0,23.0,2.0,4.0,2.0,1.0,1.0,17.0,True,2.0,True,4.0,NT-30-45,False
65,0.0,0.0,55.0,11263.0,14.0,0.0,0.0,0.0,True,3.0,True,1.0,NT-30-45,False
66,224.0,21.0,1.0,3.0,2.0,1.0,1.0,20.0,True,2.0,True,4.0,NT-32-47,False
67,0.0,0.0,59.0,11572.0,8.0,0.0,0.0,0.0,True,3.0,True,1.0,NT-32-47,False
68,224.0,21.0,1.0,3.0,3.0,1.0,1.0,21.0,True,2.0,True,4.0,NT-34-49,False
69,0.0,0.0,50.0,11869.0,10.0,0.0,1.0,0.0,True,3.0,True,1.0,NT-34-49,False
70,189.0,23.0,1.0,3.0,3.0,1.0,1.0,19.0,True,2.0,True,4.0,NT-36-51,False
71,0.0,0.0,57.0,12207.0,8.0,0.0,0.0,0.0,True,3.0,True,1.0,NT-36-51,False
72,218.0,22.0,1.0,3.0,3.0,1.0,1.0,21.0,True,2.0,True,4.0,NT-38-53,False
73,0.0,0.0,76.0,12329.0,7.0,0.0,1.0,1.0,True,3.0,True,1.0,NT-38-53,False
74,265.0,26.0,1.0,3.0,4.0,1.0,1.0,20.0,True,2.0,True,4.0,NT-40-30,False
75,0.0,2.0,48.0,2928.0,20.0,1.0,2.0,19.0,True,3.0,False,NaN,NT-40-30,False
76,142.0,24.0,1.0,3.0,3.0,2.0,2.0,19.0,True,2.0,True,4.0,NT-40-55,False
77,0.0,0.0,64.0,12323.0,10.0,0.0,0.0,0.0,True,3.0,True,1.0,NT-40-55,False
78,58.0,329.0,3.0,3.0,3.0,1.0,1.0,18.0,True,2.0,False,NaN,45-30,True
79,1.0,13.0,22.0,3386.0,50.0,7.0,6.0,16.0,True,3.0,False,NaN,45-30,True
80,31.0,635.0,96.0,4.0,3.0,2.0,1.0,16.0,True,2.0,False,NaN,47-32,True
81,0.0,28.0,25.0,3520.0,44.0,9.0,5.0,26.0,True,3.0,False,NaN,47-32,True
82,178.0,39.0,2.0,4.0,4.0,2.0,1.0,21.0,True,2.0,True,4.0,49-34,True
83,0.0,13.0,86.0,3811.0,18.0,1.0,6.0,15.0,True,3.0,False,NaN,49-34,True
84,68.0,465.0,3.0,4.0,4.0,2.0,2.0,21.0,True,2.0,True,4.0,51-36,True
85,0.0,147.0,100.0,3863.0,13.0,5.0,2.0,18.0,True,3.0,False,NaN,51-36,True
86,62.0,188.0,3.0,4.0,4.0,2.0,2.0,21.0,True,2.0,True,4.0,53-38,True
87,16.0,150.0,18.0,4048.0,52.0,14.0,4.0,25.0,True,3.0,False,NaN,53-38,True
88,10.0,169.0,68.0,4.0,4.0,2.0,1.0,18.0,True,2.0,False,NaN,55-40,True
89,77.0,213.0,24.0,4375.0,9.0,9.0,2.0,1.0,True,3.0,False,NaN,55-40,True
90,142.0,106.0,2.0,2.0,3.0,1.0,1.0,16.0,True,2.0,True,4.0,NT-22-45,False
91,0.0,0.0,3.0,14213.0,8.0,0.0,1.0,1.0,True,3.0,True,1.0,NT-22-45,False
92,124.0,102.0,2.0,3.0,3.0,1.0,1.0,16.0,True,2.0,True,4.0,NT-24-47,False
93,0.0,0.0,2.0,13528.0,8.0,0.0,1.0,2.0,True,3.0,True,1.0,NT-24-47,False
94,113.0,75.0,2.0,3.0,3.0,2.0,1.0,16.0,True,2.0,True,4.0,NT-26-49,False
95,0.0,0.0,12.0,13415.0,7.0,0.0,1.0,3.0,True,3.0,True,1.0,NT-26-49,False
96,80.0,65.0,2.0,3.0,3.0,1.0,2.0,17.0,True,2.0,True,4.0,NT-28-51,False
97,0.0,0.0,10.0,12642.0,6.0,0.0,1.0,1.0,True,3.0,True,1.0,NT-28-51,False
98,135.0,111.0,2.0,3.0,3.0,2.0,2.0,18.0,True,2.0,True,4.0,NT-30-53,False
99,0.0,0.0,18.0,15017.0,10.0,0.0,0.0,1.0,True,3.0,True,1.0,NT-30-53,False
100,209.0,121.0,2.0,3.0,3.0,2.0,2.0,17.0,True,2.0,True,4.0,NT-32-55,False
101,0.0,0.0,12.0,13738.0,10.0,0.0,0.0,1.0,True,3.0,True,1.0,NT-32-55,False
102,341.0,42.0,2.0,3.0,4.0,1.0,1.0,21.0,True,2.0,True,4.0,NT-39-28,False
103,0.0,3.0,19.0,3203.0,31.0,1.0,1.0,8.0,True,3.0,False,NaN,NT-39-28,False
104,108.0,45.0,3.0,5.0,5.0,2.0,2.0,27.0,True,2.0,True,4.0,42-35,True
105,0.0,144.0,125.0,3408.0,26.0,5.0,3.0,14.0,True,3.0,False,NaN,42-35,True
106,20.0,724.0,9.0,4.0,4.0,2.0,2.0,20.0,True,2.0,False,NaN,44-37,True
107,0.0,40.0,126.0,3667.0,21.0,0.0,0.0,1.0,True,3.0,False,NaN,44-37,True
108,340.0,36.0,2.0,3.0,4.0,2.0,2.0,21.0,True,2.0,True,4.0,48-35,True
109,0.0,14.0,159.0,3456.0,22.0,1.0,1.0,3.0,True,3.0,False,NaN,48-35,True
110,136.0,34.0,2.0,4.0,4.0,2.0,2.0,21.0,True,2.0,True,4.0,51-36,True
111,0.0,73.0,259.0,3535.0,26.0,1.0,0.0,19.0,True,3.0,False,NaN,51-36,True
112,57.0,51.0,2.0,4.0,4.0,2.0,2.0,22.0,True,2.0,True,4.0,53-38,True
113,4.0,238.0,29.0,3742.0,21.0,3.0,2.0,15.0,True,3.0,False,NaN,53-38,True
114,24.0,513.0,31.0,4.0,4.0,2.0,2.0,23.0,True,2.0,True,4.0,55-40,True
115,234.0,128.0,25.0,3865.0,31.0,1.0,1.0,14.0,True,3.0,False,NaN,55-40,True
116,221.0,52.0,2.0,3.0,4.0,1.0,2.0,20.0,True,2.0,True,4.0,NT-22-45,False
117,0.0,0.0,26.0,11957.0,26.0,0.0,0.0,0.0,True,3.0,True,1.0,NT-22-45,False
118,200.0,47.0,2.0,3.0,3.0,1.0,2.0,19.0,True,2.0,True,4.0,NT-24-47,False
119,0.0,0.0,28.0,11550.0,27.0,0.0,0.0,0.0,True,3.0,True,1.0,NT-24-47,False
120,124.0,43.0,2.0,3.0,3.0,1.0,1.0,17.0,True,2.0,True,4.0,NT-26-49,False
121,0.0,0.0,28.0,12358.0,28.0,0.0,1.0,0.0,True,3.0,True,1.0,NT-26-49,False
122,110.0,49.0,2.0,3.0,3.0,1.0,1.0,17.0,True,2.0,True,4.0,NT-28-51,False
123,0.0,0.0,24.0,12032.0,29.0,0.0,0.0,1.0,True,3.0,True,1.0,NT-28-51,False
124,187.0,51.0,2.0,3.0,2.0,1.0,1.0,17.0,True,2.0,True,4.0,NT-30-53,False
125,0.0,0.0,25.0,11461.0,29.0,0.0,0.0,0.0,True,3.0,True,1.0,NT-30-53,False
126,126.0,54.0,2.0,3.0,2.0,1.0,1.0,17.0,True,2.0,True,4.0,NT-32-55,False
127,0.0,0.0,52.0,11711.0,24.0,0.0,0.0,0.0,True,3.0,True,1.0,NT-32-55,False
128,352.0,32.0,1.0,3.0,4.0,1.0,2.0,24.0,True,2.0,True,4.0,NT-49-34,False
129,0.0,2.0,41.0,4151.0,31.0,0.0,0.0,3.0,True,3.0,False,NaN,NT-49-34,False
