bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
0.0,3.0,64.0,2532.0,6.0,0.0,0.0,0.0,True,3,False,,40-25,True
450.0,22.0,2.0,2.0,0.0,0.0,0.0,20.0,True,2,True,4,40-25,True
0.0,15.0,118.0,3224.0,23.0,0.0,1.0,9.0,True,3,False,,40-30,True
55.0,3372.0,3.0,2.0,0.0,0.0,0.0,21.0,True,2,False,,40-30,True
0.0,21.0,221.0,3471.0,17.0,0.0,0.0,0.0,True,3,False,,42-32,True
69.0,515.0,272.0,13.0,1.0,0.0,0.0,19.0,True,2,False,,42-32,True
3.0,177.0,307.0,3597.0,8.0,0.0,0.0,0.0,True,3,False,,44-34,True
75.0,139.0,288.0,22.0,2.0,1.0,1.0,24.0,True,2,False,,44-34,True
0.0,135.0,521.0,3921.0,8.0,0.0,1.0,1.0,True,3,False,,46-36,True
16.0,72.0,721.0,114.0,3.0,1.0,1.0,22.0,True,2,False,,46-36,True
0.0,22.0,487.0,4192.0,16.0,4.0,1.0,1.0,True,3,False,,48-38,True
63.0,26.0,2.0,6.0,2.0,0.0,1.0,23.0,True,2,False,,48-38,True
0.0,20.0,783.0,6064.0,19.0,7.0,8.0,5.0,True,3,False,,50-40,True
16.0,935.0,47.0,6.0,3.0,1.0,1.0,22.0,True,2,False,,50-40,True
0.0,1.0,207.0,9730.0,3.0,0.0,0.0,0.0,True,3,True,1,NT-25-40,False
124.0,46.0,3.0,5.0,2.0,0.0,1.0,19.0,True,2,True,4,NT-25-40,False
0.0,1.0,197.0,10071.0,8.0,0.0,0.0,0.0,True,3,True,1,NT-27-42,False
110.0,45.0,3.0,3.0,2.0,0.0,1.0,18.0,True,2,True,4,NT-27-42,False
0.0,1.0,222.0,10344.0,2.0,0.0,0.0,0.0,True,3,True,1,NT-29-44,False
106.0,43.0,2.0,3.0,1.0,0.0,0.0,19.0,True,2,True,4,NT-29-44,False
0.0,1.0,175.0,10854.0,8.0,0.0,0.0,0.0,True,3,True,1,NT-31-46,False
122.0,32.0,3.0,4.0,1.0,0.0,0.0,18.0,True,2,False,,NT-31-46,False
0.0,2.0,208.0,11044.0,6.0,0.0,0.0,0.0,True,3,True,1,NT-33-48,False
152.0,36.0,2.0,4.0,2.0,0.0,0.0,21.0,True,2,True,4,NT-33-48,False
0.0,1.0,260.0,10484.0,9.0,0.0,0.0,0.0,True,3,True,1,NT-35-50,False
177.0,34.0,2.0,4.0,2.0,0.0,1.0,21.0,True,2,True,4,NT-35-50,False
